Handle,LevDistance,IntersectionalityScore,DDNADistance,APUScore,SADScore,GrantOwner,IPsShared
0x113838,2,2,0,0.1,1,0,1
my010sky,2,2,0,0.1,1,0,1
likingning,3,1,0.29,0,0,0,1
susanneglenn2222,7,1,0,0,1,0,NA
baconaetor,4,3,0,0,0,0,NA
xdoppo,2,4,0.21,0.26,1,0,0.89
michellemoon9349,6,1,0,0,1,0,NA
jakkgood,2,1,0,0,1,0,NA
enspiration-eth,5,2,0.17,0.16,1,0,0
2cccc2,2,4,0.14,0.11,1,0,1
spring001,2,3,0.07,0.1,0,0,0.71
roxgamble9393,5,1,0,0,1,0,NA
marcxiivn,3,1,0.23,0.11,1,0,0
czeslaw33,4,2,0,0.08,1,0,1
vickybandera2222,6,1,0,0,1,0,NA
ltk1205,2,2,0.09,0.1,1,0,0
zhangzhangjin850,5,0,0,0,1,0,NA
roselovell2333,6,NA,0,0,1,0,NA
karenstuart2020,6,1,0,0,1,0,NA
alizion1,2,4,0,0.11,1,0,NA
kohuler,2,3,0,0.15,1,0,NA
essiecolon0999,6,1,0,0,1,0,NA
bigladbrokes,5,2,0,0.13,1,0,0
sdfsegeer3,4,3,0.33,0.08,1,0,0.4
guozilialulu,5,4,0.41,0.11,0,0,0.43
auxsystem,2,2,0,0.1,1,0,1
loufields1111,5,1,0,0,1,0,NA
tamaunaya,3,3,0.45,0.26,0,0,0
anajolsson,1,4,0.4,0.07,0,0,0.01
naseerfafoo,4,2,0.12,0.08,0,0,0.03
fionghes,3,3,0,0.15,1,0,NA
apqnoo,2,2,0,0,1,0,NA
vinlimata,3,4,0.1,0,1,0,0.67
oniwyimy,4,2,0,0.08,1,0,1
meichun920,3,0,0,0.03,1,0,NA
pidan521,3,1,0.16,0.08,1,0,0
medaldoge,2,4,0.17,0,1,0,1
vardation,3,3,0.29,0,0,0,0
happyo2999,3,0,0,0.03,1,0,NA
frankknewman5,5,1,0.33,0.11,1,0,NA
jsahagun91,4,2,0.25,0.18,0,0,0
yxtan7986,3,2,0,0,1,0,0
julesmcro,2,3,0,0.15,1,0,NA
4seasonfood,4,2,0,0.1,1,0,1
finalea,2,NA,0.07,0,0,0,0
lige111,2,4,0,0,0,0,0.33
0xrake,1,4,0.52,0.1,0,0,0.59
aiqingbo,2,1,0.21,0.13,1,0,1
ianshen,2,4,0.27,0,0,0,0.16
cc-402,2,3,0.2,0.06,1,0,0.93
barnettw0ng,3,3,0.05,0.21,0,0,0.33
roflmauer,4,3,0,0.1,0,0,0
christopherplumbus,5,4,0.36,0.13,1,0,0.17
sookbre,3,3,0,0.16,1,0,NA
cjinghong,2,1,0,0,0,0,NA
michellharriso,3,0,0,0,1,0,NA
gilliezachary,5,0,0,0.1,1,0,NA
dellfan,2,2,0,0.1,1,0,1
l3anknp,3,2,0.05,0,1,0,0
sandeepeth,3,2,0,0.1,1,0,0
hgndhnydny,5,0,0,0,1,0,NA
essdais,2,0,0.06,0,1,0,NA
hfuwehfka,4,0,0,0,1,0,NA
leyrsheroe,4,0,0,0,1,0,NA
tehllama9,3,4,0.5,0.31,0,1,0.05
dianemurphyw,5,0,0,0,1,0,NA
tantanwp,1,0,0,0.05,1,0,1
raven50mm,3,3,0,0.23,1,0,1
sunlulu19851985,7,2,0,0.11,1,0,0.67
joanfken,2,0,0.13,0,1,0,1
rockymine35,4,1,0.09,0.1,0,0,NA
heryford,1,4,0.1,0.11,1,0,NA
mengmenghehe,2,3,0,0.18,1,0,NA
sdgjuegnjyt,6,0,0.21,0.05,1,0,NA
carter826,3,1,0,0.08,1,0,NA
dianewalterty,5,0,0,0,1,0,NA
anadjue,2,0,0,0.05,1,0,1
dx1818,1,1,0,0,1,0,0
dethmgts,3,0,0.06,0,1,0,NA
jackie0515,3,4,0,0.23,1,0,0.93
bgzbgfxngfx,6,0,0.08,0,1,0,NA
yangzhongrem,3,2,0,0.1,1,0,1
zaitsevwork,4,2,0.15,0,0,0,0
sandipm089,3,2,0.11,0.15,0,0,NA
wrightrucet,4,0,0,0.05,1,0,NA
pck033,3,0,0,0,1,0,0
nhgnugmgfm,4,0,0.07,0,1,0,NA
godswap,2,4,0.14,0.16,1,0,1
nmoopecpp,4,0,0.06,0,1,0,NA
wjh281,2,2,0.31,0.33,0,0,0.83
tobywilkidfvd,7,0,0.21,0,1,0,NA
cryptox10x10,3,1,0.18,0,1,0,NA
marveluwrigh,4,0,0.13,0,1,0,0.8
vdsvfdvfdvb,4,0,0,0,1,0,NA
biboombi,3,4,0.12,0.1,1,0,0
sekomasas,3,2,0.21,0,1,0,NA
sprinllasf,4,0,0,0.05,1,0,NA
renes300,3,3,0.65,0.08,1,0,0
hiroyuki207,2,3,0,0,1,0,0
dvfvsc,2,0,0,0,1,0,NA
atethacne,3,0,0,0,1,0,NA
egbertbarnar,4,0,0.07,0,1,0,NA
dgfgbvfsd,4,0,0,0,1,0,NA
fbdrrsbb,4,0,0,0,1,0,NA
mcteliu,3,0,0.25,0.06,1,0,NA
hammondtchery,5,0,0,0,1,0,0.67
rudolfalic,3,0,0.07,0,1,0,NA
lamberckeyt,4,0,0.2,0.05,1,0,NA
yunzhida,3,2,0,0.1,1,0,1
guodong4856,4,3,0,0.16,1,0,NA
wanghaozse,3,2,0.04,0.15,0,0,NA
christinehoove,4,0,0,0,1,0,NA
ashok285,2,1,0,0.1,0,0,NA
cauchy48,3,4,0.29,0,1,0,0
ghngfngfny,3,0,0.07,0,1,0,NA
phongtuyet,3,0,0.07,0.05,1,0,1
semenovag,3,0,0,0,1,0,NA
ngoctkha,2,0,0.25,0,1,0,NA
phi100,1,3,0.29,0.08,1,0,0
eeteeils,3,0,0,0,1,0,NA
vernechristophe,4,0,0,0,1,0,NA
dddfjiposd,5,0,0,0,1,0,NA
ethrenogen,4,0,0,0.23,0.28,0,0.03
louellocsd,4,0,0,0,1,0,NA
jamieiu,2,4,0,0.11,1,0,0.3
blake1721,2,0,0.25,0,0,0,0
crypto-kenny,2,0,0,0.03,1,0,1
nihaidong,2,2,0.29,0.11,1,0,1
kadind,2,2,0.1,0,0,0,NA
openhugeleaf,5,3,0,0,0,0,0
vfbzdfbfdzbfzdb,7,0,0,0,1,0,NA
panlinhui1234,4,3,0,0,0,0,0.19
bhfdgbdsvf,4,0,0,0,1,0,NA
rhbtfhbfthbdfzb,8,0,0,0,1,0,NA
eighthyk,3,0,0.19,0,1,0,NA
ioklimoy,3,0,0.12,0,1,0,NA
naihe11,2,4,0.42,0.1,0,0,0.5
uuumcscxb,4,0,0,0,1,0,NA
dfjgeurjg,3,0,0,0,1,0,NA
blacktea2022,3,2,0,0.1,1,0,1
lawerfx,3,2,0.24,0,0,0,0
rzmaaym,3,0,0.07,0,1,0,NA
beichenls,3,0,0.14,0,1,0,NA
sallysmi,3,0,0,0,1,0,NA
ucheaaron,3,2,0.06,0.18,0,0,0.88
brucekite,2,0,0.07,0,1,0,NA
wildmolasses,4,3,0.55,0.31,0,0,0.14
vegaygayle,4,0,0.13,0,1,0,1
ethedericks,3,0,0.13,0,1,0,NA
yeufnofy,4,0,0,0,1,0,NA
ggjjscvcbb,5,0,0.06,0,1,0,NA
ghdjnytdnytd,6,0,0,0,1,0,NA
sedgerjhnde,4,0,0,0,1,0,NA
wangying13149,3,1,0,0,1,0,NA
programfirstq,5,4,0.47,0,0,0,0.33
heezymd,3,4,0.42,0.15,0,0,0
ushuseny,2,0,0.24,0,1,0,NA
danieltay717,3,1,0.12,0.08,1,0,0
thegamer7890,4,4,0.24,0.36,1,0,0.22
nicholswy,3,0,0.03,0.05,1,0,1
tylerkessd,3,0,0.07,0,1,0,1
grgfvsv,2,0,0,0,1,0,NA
jakobcom,3,0,0.17,0,1,0,NA
tonytoland,3,0,0,0,1,0,NA
dgvheuru,3,0,0,0.05,1,0,NA
uriahdaisys,5,0,0,0,1,0,NA
sdhgkl753483,5,2,0,0,1,0,NA
tyofebrian,3,1,0,0.11,0,0,0.06
beauedware,4,0,0.06,0,1,0,NA
fgdrvdsfwrg,5,0,0,0,1,0,NA
aewf213,3,0,0,0,1,0,NA
1hungngo,1,3,0,0,1,0,NA
rusoskiha,3,0,0.13,0,1,0,NA
jjhffdfd,3,0,0,0,1,0,NA
junta,1,4,0.12,0,0,0,0.1
paulabowens,4,0,0,0,1,0,NA
vfsbdfzbrd,3,0,0.08,0,1,0,NA
natviole,2,0,0,0,1,0,NA
samburou,3,0,0.27,0,1,0,NA
runrundream,4,3,0,0.11,0,0,0
adelaideboyles,4,0,0,0,1,0,NA
join332178,4,1,0,0,1,0,0
jamirkas,2,3,0.17,0.16,1,0,0
noviacumberlan,6,0,0.07,0,1,0,NA
whisperice,2,4,0.06,0,0,0,0.64
robinsonwa,3,0,0.19,0,1,0,0.75
good58,2,1,0.2,0.13,1,0,NA
reginabyrons,5,0,0,0,1,0,NA
fdgbtfbnbn,4,0,0.14,0,1,0,NA
jakobkollerdsv,6,0,0,0,1,0,0
nemt123456,2,1,0,0,0,0,NA
rashenh,2,0,0.07,0,1,0,NA
sdyhaej,3,0,0,0,1,0,NA
cccvbnmwea,5,0,0.16,0,1,0,NA
nydiachild,4,0,0,0,1,0,NA
meyshecd,3,0,0.07,0,1,0,1
marlostanf,1,0,0.5,0,0,0,0
beatricefes,2,0,0,0,1,0,NA
opheliasaroya,5,0,0,0,1,0,NA
nfgndgynyd,5,0,0,0,1,0,NA
cryptonaga,1,2,0.5,0,0,0,0
snoliver,2,2,0,0.25,0.04,0,0
larrybara,2,0,0.33,0.06,1,0,NA
sgjulktyr,4,0,0,0.05,1,0,NA
jacquelion11,4,0,0.13,0,1,0,1
leoddfs,2,2,0.17,0,1,0,NA
milesdans,2,0,0,0,1,0,NA
houpekgko,4,0,0,0,1,0,NA
bsml21ds,4,1,0,0,1,0,NA
olayiwolaboluwatife,9,3,0,0,1,0,0.5
0xfornax,2,3,0.25,0.07,0,0,0
wilburcraigi,5,0,0,0,1,0,1
ppdscmju,3,0,0.06,0,1,0,NA
snyderkennethdg,7,0,0,0,1,0,NA
laiyazhou,3,4,0.23,0.11,0,0,0.67
gdhbsxtgbht,5,0,0,0,1,0,NA
venusburkes,4,0,0,0,1,0,NA
max2021t,2,2,0.59,0,0.04,0,0.6
bravewallets,4,1,0,0.1,1,0,0
senyphosh,3,0,0.07,0,1,0,NA
milocattie163,6,2,0,0,1,0,0.79
andresavallecl,2,4,0.33,0.08,1,0,0
constickensf,5,0,0.08,0.05,1,0,NA
131233,2,4,0.17,0,0,0,0.67
ramananvahedifg,7,0,0,0,1,0,NA
strivetc,2,4,0.07,0.1,1,0,0.45
bdtzbtfdb,4,0,0,0,1,0,NA
doshmfx,3,0,0.12,0,1,0,NA
peppererikt,4,0,0,0,1,0,NA
vnair5,2,0,0,0.1,1,0,NA
jeautaynwo,4,0,0,0,1,0,NA
fmx111,2,2,0,0.05,0,0,0
stakesafe0x,5,1,0.15,0.05,1,0,1
princehudsonqwefdf,9,0,0,0,1,0,NA
nynhdnnhn,4,0,0,0,1,0,NA
sgrgdrdc,3,0,0,0,1,0,NA
revilo-tc,3,2,0,0,1,0,0
floeateasj,4,0,0,0,1,0,NA
rghhkopidf,5,0,0.07,0,1,0,NA
nemt5181168,5,3,0,0,0,0,0.4
ken-gee,2,4,0.21,0.1,0,0,0.61
mendriee,2,0,0,0,1,0,NA
rhaerjiuei5,5,0,0,0,1,0,NA
mrp0906,3,4,0,0.36,0,0,0.64
martvelines,4,0,0,0.05,1,0,NA
ewftest01,3,1,0,0,1,0,NA
gbfdsvbdv,4,0,0.07,0,1,0,NA
isaac-art,1,5,0.33,0.29,0,0,0.04
dsfadgb,2,0,0.06,0,1,0,NA
manuv97,2,1,0,0,1,0,NA
brighaml,1,0,0.07,0,1,0,NA
yykopmvxdf,6,0,0.16,0,1,0,NA
verneraphae,4,0,0,0,1,0,NA
rebeccadai0,3,1,0.33,0,0,0,0.5
gildcasa,3,4,0,0.11,1,0,NA
mooseys,2,0,0.12,0,1,0,NA
letitiapatrick,5,0,0,0,1,0,NA
dfujewgqa,4,0,0,0,1,0,NA
sfsgbdfh,2,0,0,0,1,0,NA
runningdoge,4,2,0,0.1,1,0,1
andretimores,4,0,0.13,0.05,1,0,NA
esajasbechf,5,0,0,0,1,0,NA
victorjudy,3,0,0.07,0,1,0,NA
marcosfrench4654,7,1,0,0,1,0,NA
adolphduboiss,5,0,0.08,0,1,0,NA
manhtran4,2,3,0,0,1,0,0
jimb0xcf,3,2,0.04,0.18,1,0,0
jryijea,3,0,0.06,0,1,0,NA
big-aaron,2,0,0,0,0,0,NA
halemarjor,4,0,0.07,0,1,0,NA
mattiaiu,2,0,0,0,1,0,NA
eleaimerans,4,0,0,0.05,1,0,NA
theenestg,3,0,0,0,1,0,NA
desloas,3,0,0.07,0,1,0,NA
summersdaniedfvd,6,0,0,0,1,0,NA
liutiantian518,4,3,0,0,0,0,0.93
reyheaju,3,0,0.14,0,1,0,NA
ulaferdinand,3,0,0.07,0,1,0,NA
spencergarcia3942,7,1,0,0,1,0,NA
enadjaosusaniqdg,9,0,0,0,1,0,NA
rfherhyrew,3,0,0.06,0,1,0,NA
cardiacattie,4,3,0,0,0,0,0.74
bobjiang,2,5,0.46,0.13,0,1,0.44
asnnoaezcp,5,0,0,0,1,0,NA
francestoak,3,0,0.21,0,1,0,1
rfyhejtsw,3,0,0.08,0,1,0,NA
alphazwest,3,3,0.3,0,0,0,0
tereaskellas,4,0,0,0,1,0,NA
liu369794992,5,4,0,0,0,0,0.73
jillmansfields,4,0,0.07,0,1,0,NA
niklausnik,3,2,0,0.03,1,0,NA
barfinsaq,3,0,0.08,0,1,0,NA
nickbeara,1,0,0,0,1,0,1
liumgit,3,2,0,0,1,0,0.5
nadtoru,3,2,0,0,1,0,0
dfdgthnhy,4,0,0.2,0,1,0,NA
kolutiansd,3,2,0,0,1,0,1
alesjausharonijvdv,9,0,0,0,1,0,0
hkiyultour,5,2,0,0,1,0,0
satebdatv,3,0,0,0,1,0,NA
annaspencer0231,6,1,0,0,1,0,NA
kryptostudent,4,0,0,0,1,0,0.8
uyuytoir,4,2,0,0,1,0,0
gegrisma,2,4,0.24,0,1,0,0
merleopeds,4,0,0,0,1,0,NA
jurator,2,2,0,0,1,0,1
litomonit,3,2,0,0,1,0,0
opoiturino,3,2,0,0,1,0,1
fensali,2,3,0.14,0,0,0,1
ngfdhzdge,4,0,0,0,1,0,1
groverbirrel,5,0,0.07,0,1,0,NA
seaffephqo,4,0,0.27,0,1,0,NA
jeanywash,2,0,0.05,0,1,0,0.75
kynepen,2,4,0.13,0.08,0,0,0.71
tigressdame,3,0,0.33,0.1,1,0,1
merywayfarer,5,2,0,0.1,1,0,0
owhesecfd,4,0,0.18,0,1,0,NA
afsanesoltanigvf,7,0,0,0,1,0,NA
wbgcfnch,4,0,0.12,0,1,0,NA
ulaeatessf,4,0,0.25,0.05,1,0,NA
bertramkiplin,5,0,0,0,1,0,NA
krypto101,2,0,0,0,1,0,0.33
gregorailario,5,0,0.12,0,1,0,0.33
murielproctor0303,8,NA,0,0,1,0,1
philiarr,2,0,0.33,0.15,1,0,1
murieljame,4,0,0.07,0,1,0,NA
jonathannmills0,5,1,0.2,0.15,1,0,NA
dsbhdfsd,3,0,0.38,0,1,0,NA
zobront,2,3,0.27,0,0,0,0
szschneider,2,0,0,0,1,0,0
websterelino,4,0,0,0,1,0,1
ioopssxas,4,0,0.18,0,1,0,NA
kkindorf,3,2,0.33,0,0,0,0
retenkjer,3,0,0.17,0,1,0,NA
mariehall9393,4,1,0,0,1,0,NA
thesasmqqe,4,0,0.27,0.06,1,0,NA
kongliya1985,4,2,0,0.1,1,0,1
morayor,1,0,0.43,0.16,1,0,1
compass1883,3,2,0,0.1,1,0,1
mortonsawye,4,0,0,0,1,0,NA
snfjgnty,3,0,0.13,0,1,0,NA
tgt5000634,4,1,0.59,0.18,1,0,0
efregsf,3,0,0,0,1,0,NA
paullo240,3,2,0.13,0.08,0,0,0.53
joannyu,2,1,0,0,1,0,NA
joycaldwell3203,6,1,0,0,1,0,NA
hytdhngngn,4,0,0.24,0,1,0,1
apes2020,2,0,0.14,0,1,0,0.6
lulambelzi,4,0,0,0,1,0,1
deechaoj,3,0,0.13,0,1,0,NA
ikatjaeruthawdgf,9,0,0,0,1,0,NA
hermosabirds,4,0,0,0,1,0,NA
ayditmug,3,0,0.12,0,1,0,NA
koyoku,1,3,0.08,0.1,1,0,0.25
aaronnnesdf,3,0,0.2,0,1,0,NA
vvbnyuicx,4,0,0.12,0,1,0,NA
betterlivin,4,2,0,0.1,1,0,1
monaedmunds,3,0,0.07,0,1,0,1
hiimoliverwang,5,2,0,0.21,0,0,0
htgfrbnrtdn,5,0,0,0,1,0,NA
andersonhelendd,4,0,0,0,1,0,NA
ahmadianrrr5,5,3,0.25,0,1,0,0
cmnode,2,1,0,0.1,1,0,0
w1nt3r-eth,4,3,0.12,0.13,1,1,0
janicedraper0200,7,2,0,0,1,0,NA
nzmorpheus,3,1,0,0,1,0,0.29
elizabvaugha2059,8,0,0.18,0,1,0,0.5
superphiz,2,4,0.52,0.13,0,1,0.25
gonewiththewind60,9,4,0,0.08,1,0,1
dbggbhdfvtdh,6,0,0,0,1,0,NA
drhntfgngn,4,0,0.13,0,1,0,NA
janiemitchell3939,7,2,0,0,1,0,NA
grthwes,3,0,0.07,0,1,0,NA
rrrthjklk,5,0,0.19,0,1,0,NA
licds,2,1,0.25,0,0,0,0
ivaljaes,3,0,0.13,0.03,1,0,1
stormynight78,3,4,0.09,0.08,1,0,1
suneslelmy,3,0,0,0.05,1,0,NA
elenabaker0201,6,2,0,0,1,0,NA
bmn1258,2,3,0,0,1,0,1
hgdhbtrsdhbt,4,0,0.07,0,1,0,NA
jiminaja,2,1,0.06,0.07,1,0,0
bherfnwughreh,7,0,0,0,1,0,NA
oshqhns,3,0,0.12,0,1,0,NA
kayvaughans,4,0,0,0,1,0,NA
sheilawarren2323,7,2,0,0,1,0,NA
awrazpem,3,0,0.3,0.03,1,0,1
riwnianf,3,0,0,0,1,0,NA
omagababy,3,4,0,0,0,0,0.5
typh061,2,4,0.18,0.08,1,0,1
ftujyrjy,4,0,0.07,0,1,0,NA
dvrehthdfbfdg,6,0,0,0,1,0,NA
milefacebsook,5,2,0,0.1,1,0,1
stca8395r0b4yy,8,0,0,0,1,0,1
boycelando,3,0,0,0,1,0,NA
prutridgesd,4,0,0,0.05,1,0,NA
nnfghjhkxd,5,0,0.18,0,1,0,NA
marthasnow9343,6,2,0,0,1,0,NA
cloudsun5,2,4,0.17,0.08,1,0,1
nawhfandi,4,0,0,0,1,0,NA
hjigsgcoprtf,6,0,0.12,0,1,0,1
brandoholmesdf,5,0,0,0,1,0,NA
youheld,2,0,0.33,0.03,1,0,1
vfrsgbrgvbr,4,0,0,0,1,0,NA
jeriolsen0349,5,2,0,0,1,0,NA
misseth,1,4,0.18,0.08,1,0,1
fregjhiua,4,0,0,0,1,0,1
nilsb1,2,2,0.54,0.1,0,0,0
marcusbabbitt,4,0,0,0,1,0,NA
susannaoys,2,0,0.08,0.06,1,0,NA
miwnni,2,0,0,0,1,0,NA
ffjjxcjsjj,5,0,0.2,0,1,0,NA
chunderhog,4,2,0.5,0.08,0,0,0
avabaqwe,3,0,0,0,1,0,NA
cghmc661,3,3,0,0.13,1,0,0
beaumurray,4,0,0.07,0,1,0,NA
t4lyssa,2,1,0.46,0.03,1,0,0
jsm10244j80ht,8,0,0.14,0,1,0,1
farahnazak,4,0,0.12,0,1,0,1
sarabake,3,0,0.13,0.03,1,0,1
emilybenson9453,6,2,0,0,1,0,NA
canghaiyishui,6,1,0,0,1,0,1
juano1crypto,3,2,0,0,1,0,NA
kfhdrhbedejfg,6,0,0,0,1,0,NA
winstonharroda,6,0,0,0,1,0,NA
gillberkeley,3,0,0,0,1,0,NA
mygodtnt,3,2,0,0,0,0,NA
larrypollitt,4,0,0,0,1,0,NA
heidimays8598,6,NA,0,0,1,0,NA
danialgames,3,2,0,0.15,1,0,NA
insomnia34,2,4,0.25,0.11,1,0,0
alibaba1213,3,2,0,0.1,1,0,1
toyboxply,4,3,0,0,1,0,NA
amangrie1,3,2,0.1,0,1,0,0.25
jeycevat,1,0,0,0,1,0,NA
sisrusr6,3,3,0,0,0,0,0
groupinggit,4,4,0.07,0,1,0,1
ttthjjxjh,4,0,0.19,0,1,0,NA
shuxunoo,3,2,0,0,0,0,0.2
phekare38308,5,0,0,0,1,0,1
roxy086,3,2,0.19,0.1,1,0,0
zahi7,2,3,0,0.08,1,0,1
maxoule222,4,0,0,0.15,1,0,NA
atelooo,2,4,0.37,0.11,1,0,0.88
j-pepper,2,3,0.65,0.1,0,0,0.17
sunny1414,2,NA,0,0,1,0,0.94
nomorecubes,3,3,0,0,1,0,NA
timothy-athenaprotocol,10,3,0.52,0,1,1,0.13
mattiascaricato,6,4,0.38,0.33,0,0,0
niftypins,1,3,0.33,0,1,0,0
tomuky,2,3,0.14,0,0,0,0
oisinmoran,4,0,0,0.16,0,0,0
brandonlam9222,5,2,0,0,1,0,NA
michaelborg05,3,2,0.1,0.15,0,0,NA
bento-box-train,8,1,0.2,0.03,1,0,NA
beerioman,3,1,0,0.15,1,0,0
99p32a1,3,4,0.36,0.31,0,0,0
philmarchan,3,1,0.2,0,1,0,0
tvanova,2,2,0,0,1,0,1
erycareff,4,2,0,0,1,0,0
rromanov12,3,1,0.08,0.05,1,0,0
thanhannguyen98,5,1,0,0,1,0,0
centkel4,2,1,0.15,0.1,0,0,0.32
coolgirlmarg,5,1,0,0,1,0,NA
coolesthopero,5,1,0.25,0,1,0,NA
aicayzer,3,4,0.05,0.29,0,0,0
coryfeco,3,1,0.22,0,1,0,0
hoerl,1,3,0,0,0,0,0
webthethird,2,4,0.2,0.13,0,0,NA
coinholiolio,3,4,0,0,0,0,0
buildpr3tti,4,2,0,0.05,1,1,0
justingoldberg9349,8,NA,0,0,1,0,NA
cmy1086,3,3,0,0,0,0,0.61
enssublet,4,1,0.48,0.03,1,0,0
kevingirgis2222,6,2,0,0,1,0,NA
hamzashadow,4,3,0.33,0.05,0,0,0
wato096869,5,1,0.12,0.15,1,0,0
wrxsti8888,3,1,0.05,0.08,0,0,0.5
cabri6108,2,2,0,0.1,1,0,0
oceanquilted,5,0,0,0.03,1,0,NA
rodrigo999-g,4,4,0.17,0.11,0,0,1
carolinescott1212,7,2,0,0,1,0,1
eme1983,2,1,0,0.15,1,0,0.11
abisoye148,4,4,0.17,0.1,0,0,0.83
jddb74,3,2,0.45,0,1,0,0
imgsu,2,3,0.17,0.2,0,0,0.44
trishathornton0202,8,2,0,0,1,0,NA
jhermanlt,3,0,0,0,1,0,0
jeremychen15,4,4,0.23,0.11,1,0,0
liuzan312,3,4,0.12,0.41,0,0,0.15
sig24,1,3,0.11,0,0,0,0
redamancyer,3,4,0,0.08,1,0,0.43
motigerr,3,1,0.29,0.1,1,0,1
cryptony87,2,0,0,0,1,0,0
sagarnadeem,3,3,0,0.11,0,0,0.25
lesdore,2,3,0,0,1,0,0
mekarpeles,4,1,0.5,0.1,0,0,0
joaquinedu,3,0,0,0,1,0,NA
haldizenli,2,4,0.12,0,0,0,0
patinaart1950,5,0,0,0.03,1,0,NA
flyinalex,3,2,0.5,0,0,0,0
eugeneprokopenko,6,1,0.2,0,0,0,NA
manek93,2,0,0.54,0,0,0,0
alejoamiras,4,3,0.38,0,0,0,0
haleyedwards2000,7,NA,0,0,1,0,NA
tommywun,2,3,0.33,0,1,0,0
dunahnt,3,1,0,0,1,0,0
awesomemikeinc,5,4,0,0,0,0,0.84
henry593,2,4,0,0.2,1,0,0.67
aussie11,2,1,0.06,0,1,0,0
durph09,3,3,0,0,1,0,NA
angelo-build,5,3,0.37,0.1,1,0,0.12
andrewwgreenn46,5,1,0.19,0.1,1,0,NA
thebanganesh,4,NA,0.2,0.11,0,0,0
mahdikuhestani75,7,NA,0,0,1,0,0
omidzrei,3,4,0.18,0.08,1,0,0.5
mulligan-madness,7,2,0.22,0.2,1,1,0
mayelindominguez,6,0,0,0,1,0,NA
paulnadler,2,1,0.11,0,0,0,0.06
nathanpark2222,5,2,0,0,1,0,1
schultztimothy,7,0,0.67,0.07,0,1,0.17
rmliriano,2,4,0.18,0,0,0,0
felipegomez5555,7,NA,0,0,1,0,NA
liliiaaana,3,2,0.25,0.07,1,0,NA
underethsea,4,4,0,0,1,0,0
rminax,2,2,0,0.13,1,0,0
statelayer,3,3,0.33,0,0,0,0.23
gajewskiarek,5,0,0.56,0,0,0,0
enjoyoor,2,2,0.15,0,1,0,0
mintdart,2,1,0.25,0,1,0,NA
robwheeler8000,5,2,0,0,1,0,NA
domkodomcic,3,0,0,0.08,1,0,NA
bhavisha-airdrops,6,2,0.12,0.11,1,0,0
nowshad18,4,4,0.25,0.23,0,0,0
ztnark,2,3,0.2,0,0,0,0.36
lalehn,2,0,0,0.07,1,0,NA
crypshaz,2,0,0,0.03,1,0,1
kiani1983,2,NA,0,0,1,0,1
brovira,1,NA,0,0,0,0,NA
yaroslav200789,4,2,0,0,1,0,0
zeljkodomko,2,0,0,0.08,1,0,NA
saltechie,3,1,0.17,0.04,1,0,1
stoobiedoo,3,0,0,0.03,0,0,NA
nazcryp,2,1,0.2,0.04,0,0,0.43
acdccebolla,5,0,0,0,1,0,NA
supersupply,3,3,0,0,0,0,0.33
jkao23,2,0,0,0,1,0,NA
artxvnft,2,2,0.47,0.2,1,1,0
shaz33,1,3,0.12,0.08,0,0,0.5
domingeznene,5,0,0,0.08,1,0,NA
polarpunklabs,4,4,0.33,0,0,1,0
eliaslopesillo,6,1,0,0,1,0,NA
alis0r,1,0,0.33,0,1,0,0
rgzgcreative,4,2,0.17,0.25,1,0,1
yahoooogc,3,2,0.12,0,1,0,0.67
nagavamsi-dev,5,4,0,0.08,0,0,0
ravi-blockchain,3,3,0,0.1,1,0,NA
pastamacaroon,5,1,0,0.15,1,0,0
idavidrein,3,0,0,0,0,0,NA
pieer86,3,1,0,0.1,1,0,0.5
andreagriffiths11,7,3,0.33,0,0,0,NA
avisionaryco,3,0,0,0.03,1,0,0
alping0,2,2,0.17,0,1,0,0
elidourado,3,2,0.14,0.2,0,0,0
kargakis,3,4,0.56,0.41,0,0,0.14
mujcika,2,1,0,0.08,1,0,0
abihidayat,2,0,0.1,0.21,0,0,0.7
lookdog796,4,1,0,0.15,1,0,0
amiryazdani68,1,4,0.25,0,1,0,0.11
bitmajk,2,1,0,0,1,0,NA
kh055,2,3,0.12,0,1,0,0
joshuavial,3,3,0.22,0,0,0,0
boekenclub,4,3,0,0.18,1,0,0
kurwinox123,4,2,0,0.13,1,0,0
hekan00,3,3,0.1,0.06,1,0,0
ufaz,2,4,0.36,0.11,0,0,0.74
dharma24,2,2,0.2,0.15,1,0,0
chrishasl,2,3,0,0.13,0,0,0
tovornjakar,5,1,0,0,1,0,NA
walkergih,3,1,0.22,0,1,0,0
miqu4321,3,1,0,0,0,0,0.25
malgo77,2,0,0,0.11,1,0,NA
fseif,2,4,0.33,0.15,1,0,0.5
vijaydefi,3,0,0,0,1,0,NA
edigius,2,4,0.19,0.33,0,0,0.05
mendoza7788,4,4,0.14,0.29,0,0,0.07
alexbacita,2,0,0.38,0,1,1,0.33
dolya6660,3,0,0.25,0.1,1,0,NA
zerzerun,3,2,0.28,0.03,1,0,0
honza-eth,3,4,0.38,0,1,0,0
davd-ops,3,3,0.12,0,0,1,0
anas-sh7,2,3,0.22,0,0,0,0
jasonatcontract,4,4,0.45,0.28,0,0,0.4
kalluk,2,4,0.21,0.08,0,0,0
higgsparticule,5,3,0.1,0.25,1,0,0
marnusjoseph,4,1,0.17,0.25,0,0,0.5
pijoijo,3,1,0.21,0.13,1,0,0.14
